"waiting" "reaction"
9828 1329
5020 455
3253 757
8232 462
8943 402
7821 490
4303 991
3045 393
7631 412
3328 412
4215 362
8598 347
9372 639
8103 1376
4282 794
8046 4870
3598 759
9168 896
5495 2333
4263 1846
8141 6074
5658 719
8559 669
4797 1795
7380 6970
3378 1679
3236 2239
6831 529
2343 2681
9492 436
5271 1225
7419 625
