"waiting" "reaction"
7801 536
3483 374
5078 249
4022 253
3051 273
9254 276
4159 284
8740 255
5583 276
3858 233
8950 278
2952 323
2028 246
6797 246
2762 346
3267 273
6903 240
9478 235
6504 290
5580 246
4685 258
9990 289
7349 263
4038 272
5902 275
9830 282
9562 267
3592 299
2490 266
8834 363
2700 257
8368 261
3665 311
6561 282
6465 263
4126 267
9561 269
6380 232
3441 268
